"","V1","V2"
"121","Love how @DoritosUSA and Bud Light are having great success w/ #SocialMedia efforts for #SuperBowl ads! Talk about consumer engagement!","4"
"122","#BudLight Starts Its #SuperBowl Ad Party Early on Social Media http://t.co/Z99EE47p","1"
"123","#BudLight Starts Its #SuperBowl Ad Party Early on Social Media http://t.co/QwHpH23a","1"
"124","Video: Anderson Silva Budweiser commercial for Super Bowl XLVII http://t.co/M2Gdrmxm","5"
"125","""Man you got a pretty voice, and I mean that!"" #budweiser #commercial #funny","6"
"126","#BudLight Starts Its #SuperBowl Ad Party Early on Social Media http://t.co/bwEVwxEQ","1"
"127","ATTENTION!#BudLight Starts Its #SuperBowl Ad Party Early on Social Media http://t.co/U889tyl7","1"
"128","@Boogie2988 a superbowl commercial? You're moving up in the world bud! Haha","6"
"129","Bud Light is starting their Superbowl ad campaign early over social media #NewhouseSM4 http://t.co/NKSRgqZ6","1"
"130","RT @Promotions_com Bud Light starts its Super Bowl ad party early on social media http://t.co/m7oF9dSx. #PCOM13 #SuperBowl #Facebook #SM","1"
"131","@BudLight Starts #SuperBowl Ad Party Early on #SocialMedia http://t.co/ExOneAjq via @Mashable #Facebook #Twitter #Youtube #Herewego...","1"
"132","#sm #advertising #superbowl “@mashsocialmedia: Bud Light Starts Its Super Bowl Ad Party Early on Social Media http://t.co/C6Qe1MR0”","1"
"133","Bud Light Starts Its Super Bowl Ad Party Early on Social Media via @mashable #superbowl #nfl http://t.co/JlkEgV01","1"
"134","I just voted for Budweiser Team Clydesdale as Super Bowl's Greatest Commercial! Vote now!#budweiserteamclydesdale http://t.co/gbcLmazn","10"
"135","Just in time for @SuperBowl, client @Budweiser launches its Twitter feed - asking fans to name the baby #Clydesdale in its #SuperBowl ad","6"
"136","Just saw a commercial for Budweiser Black Crown saying it comes out 2-3-13. Ummmm.... #TweetsFromTheFuture http://t.co/bf5Cr3ue","7"
"137","Video: Anderson Silva Budweiser commercial for Super Bowl XLVII http://t.co/Wo6EeQCv","5"
"138","Budweiser black crown..spoiler warning for that Super Bowl ad http://t.co/g6lWJjjO","7"
"139","RT @kyleweeks: .@budweiser releases picture of Clydesdale starring in new Super Bowl ad. Born Jan. 16. (cc: @photogal5) http://t.co/1w3CVVFc","5"
"140","RT @ksdknews: .@budweiser releases picture of Clydesdale starring in new Super Bowl ad. Born Jan. 16. http://t.co/mU0gWITt","5"
"141","Adorable! RT @ksdknews: .@budweiser releases picture of Clydesdale starring in new Super Bowl ad. Born Jan. 16. http://t.co/a8rQNzWG","5"
"142","“@ksdknews: .@budweiser releases picture of Clydesdale starring in new Super Bowl ad. Born Jan. 16. http://t.co/WQnhGeaI” #SuperBowl","5"
"143","What has this world come to. Budweiser has a commercial now to preview a commercial","6"
"144","Looks like Budweiser is teasing a Super Bowl ad with a mystery girl. Until revealed, she's Manti Te'o's girlfriend","6"
"145","Budweiser - Wassup Funny Commercial Ads http://t.co/eWthxIU4","6"
"146","There's literally a Budweiser commercial thats sole purpose is advertising for the upcoming Super Bowl Budweiser commercial.. I'm done.","6"
"147","Watch for @fulcheragency actors, Helios & Ian, in the Budweiser Superbowl commercial! http://t.co/O526u45k","6"
"148","Melting. “@KrisKetz: RT @ksdknews: .@budweiser releases pic of Clydesdale starring in new Super Bowl ad. Born Jan. 16. http://t.co/GYfAkWUm”","5"
"149","The #SuperBowl has officially taken over #SocialMedia: Bud Light Starts Its Super Bowl Ad Party Early on SM. http://t.co/wnRm8QDw","1"
"150","#BudLight Starts Its #SuperBowl #Ad Party Early on #SocialMedia http://t.co/Lma9SUEB via @mashable","1"
"151","Just saw the commercial for the black #budweiser coming out in february...very few black beers I like so we'll see.","7"
"152","I just voted for Budweiser Team Clydesdale as Super Bowl's Greatest Commercial! Vote now!#budweiserteamclydesdale http://t.co/eV5R0SgP","10"
"153","RT @KrisKetz: RT @ksdknews: .@budweiser releases picture of Clydesdale starring in new Super Bowl ad. Born Jan. 16. http://t.co/9TQ0BkVC","5"
"154","I just voted for Budweiser “Superfan” as Super Bowl's Greatest Commercial! Vote now! #budweisersuperfan http://t.co/xUUNVeRV","10"
"155","Bud Light Starts Its Super Bowl Ad Party Early on Social Media http://t.co/CBMEiqnc #socialmedia #social #BUNewMedia #superbowl","1"
"156","Budweiser Clydesdale commercial 2006 Super Bowl http://t.co/LMTa59nj","6"
"157","I just voted for Budweiser Superfan as Super Bowl's Greatest Commercial! Vote now!#budweisersuperfan http://t.co/npOuojzg","10"
"158","The #Budweiser #SuperBowl commercial using a week old #Clydesdale is just mean. #PETA","6"
"159","RT @ksdknews: .@budweiser releases picture of Clydesdale starring in new Super Bowl ad. Born Jan. 16. http://t.co/TaGypJ4T","5"
"160","Bud Light had so many great #superbowl ads in 90s. Hope they have a good one planned after all the #socialmedia prephttp://t.co/G1kLouUv","4"
"161","Bud light commercial RT @EDIBLU: 2. Who you going for in the Superbowl?","4"
"162","Bud light is one game away from predicting the superbowl winner with that commercial #Woah","4"
"163","Funny Budweiser Clydesdales Superbowl Ad Hank the Clydesdale: http://t.co/WEK0uBqv via @youtube | The cutest Clydesdale ads ever!!! Love it!","6"
"164","but still, 4 mil! Bud Light Starts Its #SuperBowl Ad Party Early on #SocialMedia http://t.co/Sqz4eVxC via @mashable","1"
"165","RT @CedEntertainer: @USAToday reported that my 2001 Superbowl ad for Budlight were my date goes awry. Is ranked #4 of all Superbowl ads ...","6"
"166","Bud Light Starts Its Super Bowl Ad Party Early on Social Media #BudLight #SuperBowl #AnheuserBusch http://t.co/QniIwktE","1"
"167","@StephenAtHome & @jimmyfallon you going to battle to be next name of the Budweiser @Clydesdales star in #Superbowl ad http://t.co/OilqKZpZ?","4"
"168","THE PITBULL BUDWEISER COMMERCIAL IS ON DALE IM LAFFING ALL THW WAY TO ETHIOPIA","6"
"169","Budweiser had a commercial for Bud w/lime and they yelled ""Summer is here!"" As I'm looking out my window @ a snowstorm. Summer is NOT here.","6"
"170",".@budweiser releases picture of Clydesdale starring in new Super Bowl ad. Born Jan. 16. (cc: @photogal5) http://t.co/1w3CVVFc","5"
"171",".@budweiser releases picture of Clydesdale starring in new Super Bowl ad. Born Jan. 16. http://t.co/TaGypJ4T","5"
"172","RT @ksdknews: .@budweiser releases picture of Clydesdale starring in new Super Bowl ad. Born Jan. 16. http://t.co/9TQ0BkVC","5"
"173","“@KrisKetz: @budweiser releases picture of Clydesdale starring in new Super Bowl ad. Born Jan. 16. http://t.co/QoLSCxE4” @neiDIGh_IT","5"
